254;3882;13416;1
255;4234;13043;1
256;3090;3271;-1
257;4095;1533;-1
258;3397;1538;-1
259;4184;14309;1
260;3396;12773;1
261;5086;7219;1
262;3856;10588;1
263;3529;3393;-1
264;4917;10055;1
265;3410;3531;-1
266;3176;2102;-1
267;3732;10624;1
268;4048;3035;-1
269;3459;11426;1
270;3975;15104;1
271;4714;435;-1
272;4549;2181;-1
273;3928;4762;-1
274;5508;8972;1
275;3290;2799;-1
276;3153;14406;1
277;3317;12539;1
278;3419;3019;-1
279;3359;14621;1
280;3902;14280;1
281;3860;2960;-1
282;6109;5744;-1
283;3432;2358;-1
284;4539;11198;1
285;6372;148;-1
286;8460;6925;-1
287;3860;11873;1
288;3944;10760;1
289;4442;11730;1
290;2733;1445;-1
291;6714;10288;0
292;3544;3154;-1
293;4272;9048;1
294;4329;483;-1
295;6168;7355;-1
296;6050;6690;1
297;6172;7987;1
298;3679;12633;1
299;3278;15283;1
300;3512;11413;1
301;2889;13698;1
302;4420;11309;1
303;3795;14248;1
304;6916;12823;0
305;3298;3035;-1
306;4111;13167;0
307;3688;12485;1
308;4499;7750;0
309;3618;13532;1
310;3992;14427;1
311;2989;13777;1
312;3869;2216;-1
313;3523;12431;1
314;3700;12293;1
315;4074;11988;1
316;4725;10414;1
317;3344;11493;1
318;3845;3805;-1
319;4858;20;-1
320;4654;13509;1
321;3339;4148;-1
322;4671;1869;-1
323;4188;10729;1
324;3615;1838;-1
325;4848;9982;1
326;4245;696;-1
327;3347;3350;-1
328;3622;2138;-1
329;4871;8278;1
330;4293;575;-1
331;3842;10799;1
332;4861;12334;1
333;2916;14828;1
334;3267;13492;1
335;4312;10978;1
336;4504;4972;-1
337;3549;14270;1
338;3761;12290;1
339;3902;2220;-1
340;4125;12860;1
341;3093;11519;1
342;3720;13105;1
343;3873;1374;-1
344;4296;10300;1
345;3055;1894;-1
346;4976;164;-1
347;4310;11408;1
348;3298;2824;-1
349;3644;13477;1
350;5301;13635;0
351;3981;12569;1
352;3853;12510;1
353;4063;14374;1
354;5625;8187;0
355;2208;1387;-1
356;5061;58;-1
357;4131;11811;1
358;4165;2019;-1
359;4664;12772;1
360;4171;1889;-1
361;4322;1003;-1
362;3908;1533;-1
363;4192;13377;1
364;5809;547;-1
365;3815;12073;1
366;5111;319;-1
367;3956;11426;1
368;3567;14641;1
369;3922;3212;-1
370;5891;12060;1
371;4174;11366;1
372;4005;2103;-1
373;5001;6251;-1
374;5002;133;-1
375;4515;9557;1
376;4200;10086;1
377;3767;1427;-1
378;3344;11888;1
379;4089;11357;1
380;3859;8804;1
381;3993;12177;1
382;3735;2804;-1
383;3945;10153;1
384;3766;2012;-1
385;1910;1509;-1
386;5160;10068;0
387;3651;7028;-1
388;4400;10930;1
389;5261;230;-1
390;6425;3717;0
391;4347;1177;-1
392;3535;14221;1
393;3851;12467;1
394;4920;393;-1
395;4919;10486;1
396;3211;3802;-1
397;3655;12585;1
398;6446;2191;-1
399;4189;833;-1
400;3610;4284;-1
401;4237;5331;-1
402;4455;12915;1
403;4994;13698;1
404;4051;10510;1
405;4010;12133;1
406;3746;3287;-1
407;4199;7974;1
408;3508;10962;1
409;3666;3135;-1
410;3993;1744;-1
411;4428;2044;-1
412;3522;3315;-1
413;3652;11859;1
414;3945;10698;1
415;4476;5260;-1
416;4305;1879;-1
417;3123;13407;1
